,ID,Donnée (Niveau 1),Donnée (Niveau 2),Donnée (Niveau 3),Donnée (Niveau 4),Donnée (Niveau 5),Donnée (Niveau 6),Description,Exemples,Balise NexSIS,Nouvelle balise,Nantes - balise,Nantes - description,GT399,GT399 description,Priorisation,Cardinalité,Objet,Format (ou type),Nomenclature/ énumération,Détails de format,15-18,15-15
0,1,Identifiant affaire/dossier,,,,,,"Identifiant technique de l'affaire et partagé entre tous les intervenants.
Il doit pouvoir être généré de façon unique et décentralisée et ne présenter aucune ambiguïté. Il est généré par les systèmes du partenaire récepteur de la primo-demande de secours et contient une clé conventionnelle permettant d'identifier la source.
Valorisation :
{cleConventionnelle}:{cleUnique}
où cleConventionnelle est la clé utilisée par le partenaire emetteur et cleUnique l'identifiant locale d'affaire dans le système du partenaire emetteur.
cleUnique est une chaîne de caractère (string) comprise entre 4 et 22 caractères alphanumériques.",samuA:CA126B445579GD4A67AV,eventId,caseId,NR,Numéro de requête émise,,,1.0,1..1,,string,,,X,X
1,2,Identifiant local de l'affaire/dossier,,,,,,"Valoriser avec l'identifiant de l'affaire dans le SI de l'émetteur du message
Ce champ est facultatif, il ne sera notamment pas transmis par NexSIS
Dans le cas où deux opérateurs ont besoin d'identifier une affaire, ils peuvent utiliser les derniers caractères de l'identifiant local de leur partenaire.",CA126B445579GD4A67AV,,senderCaseId,NO,Numéro de dossier de l'émetteur,,,,0..1,,string,,,X,X
2,3,Date Heure de création de l'affaire/dossier,,,,,,Groupe date heure de début de partage lié à la création de l'affaire (et donc de génération du caseId). Il doit être renseigné à la fin du processus de la  création  de la première alerte. Lors de l'ajout d'alerte à une affaire ce champ ne doit pas être modifié.  L'indicateur de fuseau horaire Z ne doit pas être utilisé.,2022-09-27T08:23:34+02:00,createdAt,creation,,,,,1.0,1..1,,datetime,,Format datetime décrit dans le DSF,X,X
3,4,Version des nomenclatures du référentiel CISU,,,,,,"Indique le numéro de version du référentiel des nomenclatures des codes transmis. 
Cela permet aux différents systèmes de s'assurer qu'ils utilisent la même version des codes de nomenclature que leurs partenaires.",1.2,cisuNomenclatureVersion,referenceVersion,,,,,,1..1,,string,,,X,X
4,5,Qualification de l'affaire/dossier,,,,,,Permet de qualifier l'affaire en générale. La qualification est issue d'une interprétation métier des alertes reçues.,,alertCode,qualification,,,,,,1..1,X,qualification,,,X,X
5,6,,Nature de fait,,,,,Décrit la nature de fait de l'alerte (NF) à partir de la nomenclature CISU,,whatsHappen,,CE/CK,raison de l'appel,,,1.0,1..1,X,nomenclature,X,,X,X
6,7,,,Code,,,,A valoriser avec un code la nomenclature associée,C07.13.02,code,,,,,,1.0,1..1,,string,X,NOMENCLATURE: CISU-Code_Nature_de_fait,X,X
7,8,,,Libellé,,,,"A valoriser avec le libellé de la nomenclature associée.
Dans le cas où un système n'est pas en mesure de reconnaître un code, il peut directement afficher le libellé qui est obligatoirement fourni avec le code.",Rodéo automobile,label,,,,,,1.0,1..1,,string,X,Voir nomenclature associée,X,X
8,9,,,Commentaire,,,,Permet de complémenter en commentaire libre l'attribut permettant de qualifier l'événement.,,freetext,,,,,,,0..1,,string,,Voir nomenclature associée,X,X
9,10,,Type de lieu,# Voir whatsHappen (type nomenclature),,,,Décrit le type de lieu (TL). Référentiel : nomenclature CISU,,locationKind,,CI,Type de lieu d'intervention,,,1.0,0..1,X,nomenclature,X,Voir nomenclature CISU Type de Lieu,X,X
10,11,,"Risque, menace et sensibilité",# Voir whatsHappen (type nomenclature),,,,"Décrit les risques, menaces et sensibilités (RMS). Référentiel : nomenclature CISU.",,riskThreat,,,,,,1.0,0..n,X,nomenclature,X,"Voir nomenclature CISU Risque, menace et sensibilité",X,X
11,12,,Motif de recours médico-secouriste,# Voir whatsHappen (type nomenclature),,,,Décrit le motif de recours médico-secouriste (MR). Référentiel : nomenclature CISU.,,healthMotive,,,,,,1.0,0..1,X,nomenclature,X,Voir nomenclature CISU Motif de recours médico-secouriste,X,X
12,13,,Devenir du dossier ,,,,,cf. cycle SI SAMU uniquement (si applicable) ,,,filefuture,,,,,,0..1,X,filefuture,,,,X
13,14,,,Etat du dossier,,,,cf. cycle SI SAMU uniquement (si applicable) : échanger l'état du dossier si le cycle de vie du dossier est implémenté de manière conforme au cycle de vie du dossier SI-SAMU,,,filestatus,,,,,,0..1,,string,X,"ENUM: Nouveau , Actif , Validé , Clôturé , Classé ",,X
14,15,,,Type de dossier,,,,D/DR/DRM si cycle SI-SAMU implémenté,"D, DR, DRM",,filetype,,,,,,0..1,,string,X,"ENUM : D, DR, DRM",,X
15,16,,Attribution du dossier,,,,,Décrit le type de professionnel médical à qui le dossier est attribué,"Médecin généraliste, médecin urgentiste etc.",,fileusage,,,,,,0..1,,string,?,?,,X
16,17,,Patients/Victimes,,,,,,,victims,,,,,,,0..1,X,victims,,,X,X
17,18,,,Nombre de patients-victimes,,,,Indique le nombre de victimes selon la nomenclature du référentiel CISU,SEVERAL,count,,NV,Nombre de victimes,,,,0..1,,string,X,"ENUM: 0, 1, SEVERAL, MANY, UNKNOWN",X,X
18,19,,,Type du patient-victime principal,,,,Identifie le type de la principale victime (celle dont l'état de santé provoque le déclenchement de l'envoi des secours). Prend les valeurs du référentiel CISU. Entre dans la détermination des partenaires impliqués par NexSIS.,CHILD,mainVictim,,,,,,,0..1,,string,X,"ENUM: INFANT, CHILD, ADULT, PREGNANT, SENIOR (voir Nomenclature CISU XX)",X,X
19,20,,,Informations complémentaires sur les patients-victimes,,,,Permet de complémenter en commentaire libre la(les) victime(s),"Jeanne Dupont, 6 ans, ne répond plus",freetext,,,,,,,0..1,,string,,,X,X
20,21,Localisation de l'affaire/dossier,,,,,,Concerne bien le dossier de régulation pour le périmetre 15-15,,eventLocation,location,,,,,,1..1,X,location,,,X,X
21,22,,Identifiant technique de localisation,,,,,ID technique et provisoire permettant d'identifier le lieu dans le cadre des échanges de cette affaire.,111fb03a-6fd9-41e0-8e81-990c45188887,locID,,,,,,,1..1,,string,,,X,X
22,23,,Résumé de la localisation,,,,,"Permet d'indiquer des indications auto suffisantes permettant pour un opérationnel d'accéder facilement au lieu avec des indications minimales.
Dans les messages NexSIS, va souvent correspondre à la concaténation suivant des règles métiers de différentes informations, dont le ""name"" (toponyme) et l'adresse.
Comprend au maximum 255 caractères","Lycée Pierre de Coubertin - 12 rue de l'Amitié 77288 Melun, Musée Bossuet - Accès 2 - 77048 Saint-Albray",locLabel,,,,,,,0..1,,string,,,X,X
23,24,,Nom du lieu,,,,,"Indique le nom de lieu : nom commercial, forêt de Fontainebleau, lac du Der (plutôt à destination des systèmes).",Lycée Pierre de Coubertin,name,,LE/L4,Nom de l'établissement répertorié/point d'intérêt,,,,1..1,,string,,,X,X
24,25,,Détails de l'adresse,,,,,,,,detailedAdress,,,,,,0..1,X,detailedAdress,,,X,X
25,26,,,"Numéro, type et nom de voie",,,,"Numéro, type et nom de la voie. 
Utilisé pour tout type de voie :  autoroute (PK, nom et sens), voie ferrée, voie navigable…
Obligatoire et seule valeur des détails de l'adresse fournie par NexSIS.",9 Bd du Montparnasse,address,complete,,,,,,1..1,,string,,TEMPLATE: {number} {wayName},X,X
26,27,,,Numéro dans la voie,,,,"Numéro dans l'adresse (inclut point kilométrique sur l'autoroute, voie ferrée ou voie navigable). Inclut l'indice de répétition associé au numéro (par exemple bis, a…).","9, 4bis, PK10, …",,number,LO,N° dans la voie,,,,0..1,,string,,,X,X
27,28,,,Type et nom de voie,,,,,,,wayName,LY/LB/LV,"Type, particule, nom de voie",,,,0..1,X,wayName,,,X,X
28,29,,,,Type et nom,,,"Type et nom de la voie (venant d'un référentiel ou non)
Si les champs type et name sont renseignés, le champ callerName doit être valorisé ainsi : ""{type} {nom}"".",Boulevard du Montparnasse,,complete,,,,,,1..1,,string,,TEMPLATE: {type} {name},X,X
29,30,,,,Type,,,,Boulevard,,type,,,,,,0..1,,string,,,X,X
30,31,,,,Nom,,,,du Montparnasse,,name,,,,,,0..1,,string,,,X,X
31,32,,Détails de la commune,,,,,,,,city,,,,,,0..1,X,city,,,X,X
32,33,,,Nom de la commune,,,,Nom officiel de la commune actuelle,Lille,city,name,LC,Nom de la commune,,,,0..1,,string,,,X,X
33,34,,,Code INSEE de la commune,,,,Code INSEE de la commune actuelle sur la base du Code Officiel géographique en vigueur. Obligatoire si le nom de la commune est renseigné.,59350,citycode,inseeCode,LZ,Code INSEE de la commune,,,,0..1,,string,,REGEX: [0-9]{5},X,X
34,35,,,Complément de commune,,,,"Informations complémentaires permettant de préciser le quartier, lieu-dit, ancienne commune, … ou autre information aidant à préciser l'adresse et notamment gérer les cas de communes fusionnées pour le système émetteur
NB : dans tous les cas, la localisation GPS de la commune doit être fournie afin d'éviter une trop forte ambiguïté","Quartie Melun Nord, Lhomme, …",,detail,,,,,,0..1,,string,,,X,X
35,36,,Détails d'accès,,,,,Non gérés par NexSIS : ne seront pas transmis au SAMU et seront affichés côté NexSIS en clés / valeurs dans le champ libre,,,access,,,,,,0..1,X,access,,,X,X
36,37,,,Etage,,,,Etage ,"RDC, 1, 2, …",,floor,LG,Etage,,,,0..1,,string,,,X,X
37,38,,,Numéro de porte,,,,"Spécifie numéro d'appartement, de chambre, de bureau","A16, 37, 104, …",,roomNumber,LP,Porte,,,,0..1,,string,,,X,X
38,39,,,Interphone,,,,"Indique les informations nécessaires  à l'identification de l'interphone (numéro, nom)",Dupont,,interphone,,,,,,0..1,,string,,,X,X
39,40,,,Digicode,,,,Indique le ou les digicodes dans l'ordre de progression dans le bâtiment,"['1234A', '4321B']",,accessCode,LD,Digicode,,,,0..n,,string,,,X,X
40,41,,,Ascenseur/escalier,,,,Indique l'ascenseur ou la cage d'escalier ,C3,,elevator,,,,,,0..1,,string,,,X,X
41,42,,,Bâtiment,,,,Nom du bâtiment,"Batiment B, Batiment Maunoury",,buildingName,,,,,,0..1,,string,,,X,X
42,43,,,Entrée,,,,,"Zone Sud, Porte 1, …",,entrance,,,,,,0..1,,string,,,X,X
43,44,,,Service,,,,Nom du service concerné au sein de l'établissement,"Infirmerie, service finance, service cardiologie, …",,entity,,,,,,0..1,,string,,,X,X
44,45,,,N° de téléphone du lieu,,,,"Numéro de téléphone permettant d'accéder au lieu de l'intervention, par exemple : téléphone du secrétariat, téléphone du service administratif ou se trouve le patient/victime.",33123452323,,locphonenumber,,,,,,0..1,,number,,,X,X
45,46,,Géometrie associée,,,,,,,objectGeometry,geometry,,,,,,0..1,X,geometry,,,X,X
46,47,,,Heure du dernier relevé,,,,Groupe date heure de renseignement des coordonnées du point clé de la localisation. Permet de connaître la fraîcheur et donc pertinence des informations pour intervenir.,2022-09-27T08:23:34+02:00,,obsDatime,,,,,,1..1,,datetime,,,X,X
47,48,,,Point ,,,,"Fournir au maximum même s'il est imprécis (et adapter le champs ""Précision"" en fonction). 
Par exemple, sans adresse, il est possible de fournir le point GPS de la commune et d'adapter et préciser l'adresse en cours d'intervention.
Sera toujours fourni par NexSIS.",,point,point,,,,,,0..1,X,point,,,X,X
48,49,,,,Coordonnées,,,"Le SGO ne fonctionne toujours sur des coordonnées X/Y ainsi qu'une adresse indicative associée. 
NexSIS dispose donc toujours d'un point GPS utilisé pour le temps de trajet, la détermination de l'intervenant le plus proche, ...
L'adresse est elle utilisée par l’intervenant pour aller sur le lieu.",,coord,coord,,,,,,1..1,X,coord,,,X,X
49,50,,,,,Latitude,,Latitude du point clé de la localisation,48.866667,lat,lat,,,,,,1..1,,number,,,X,X
50,51,,,,,Longitude,,Longitude du point clé de la localisation,2.333333,lon,lon,,,,,,1..1,,number,,,X,X
51,52,,,,,Altitude ,,"Altitude du point clé de la localisation, en mètre, ignoré côté NexSIS.",120,,height,,,,,,0..1,,number,,,X,X
52,53,,,,,Cap,,En degré,96,,heading,,,,,,0..1,,number,,,X,X
53,54,,,,,Vitesse,,"Vitesse en km/h, notamment fournie par eCall, tel, nouveau AML, …",34,,speed,,,,,,0..1,,number,,,X,X
54,55,,,,,Précision,,"Indique via une nomenclature le niveau de précision des coordonnées fournies par le système emetteur.
CITY=Précision à l'échelle de la ville, STREET=Précision à l'échelle de la rue, ADDRESS=Adresse précise, EXACT=Point coordonnée GPS exact, UNKNOWN=Précision de la localisation non évaluable par l'émetteur",ADDRESS,,precision,,,,,,1..1,,string,X,"ENUM: CITY, STREET, ADDRESS, EXACT, UNKNOWN",X,X
55,56,,,,Système de coordonnées,,,"Indique le type de coordonnées utilisé. Actuellement, la seule valeur valide est «EPSG-4326», indiquant l'utilisation de WGS-84. Si ce champ n'est pas renseigné, on considère que la valeur par défaut est «».",EPSG-4326,coordsys,sysCoord,,,,,1.0,0..1,,string,,,X,X
56,57,,,Formes géométriques,,,,"Objet gml (équivalent xml du geojson). Le langage GML permet de décrire une forme dans un système de projection donné. 
Dans le cas d'une alerte donnée sur une zone géographique non précise (par exemple une section d'autoroute ou une zone sur un chemin de randonnée), une indication sur la zone de recherche peut être fournie.
En XML, un objet gml est encapsulé dans une balise <sketch xmlns:gml='http://www.opengis.net/gml' version='1.0' > </sketch>
En JSON, les balises sont reprises depuis le modèle gml
Voir http://www.opengis.net/gml pour le format de l'objet sketch",,sketch,sketch,,,,,,0..1,,string,,,X,X
57,58,,Liens aux systèmes externes,,,,,"Permet de partager l'identifiant d'un objet ayant servi à l'établissement de la localisation. L'objet reprend la structure EXTERNAL_INFO de l'EMSI
L'identifiant BAN de l'adresse (clé d'interopérabilité) doit être partagé au maximum.",,link,externalInfo,,,,,,0..n,X,externalInfo,,,X,X
58,59,,,Nom de la source,,,,"Système fournissant le localisant :  NexSiS ou l'ORG_ID (BAN, IGN, ...)","NexSIS, BAN, IGN, …",source,freetext,,,,,,1..1,,string,X,"ENUM: BAN, IGN, NexSIS",X,X
59,60,,,Type ,,,,"Définition du type d'objet dans le système
Ex : SIG NexSIS / OSM ont plusieurs types de données -> savoir du quel on parle (POI, tronçon de route, …) pour faciliter le filtre | Aussi table dans une base de données","ega, egr, egm, DIO (données d'influence opérationnelle), …",type,type,,,,,,1..1,,string,X,"ENUM: MANUAL, MAP, OTHER, PHOTO, WEBSIT",X,X
60,61,,,Identifiant,,,,Identifiant unique dans le type. Exemple : UUID d'un ega,id987,id,uri,,,,,,1..1,,string,,,X,X
61,62,,Pays,,,,,,France,country,,,,,,,1..1,,string,,NOMENCLATURE: ISO 3166-ISO3166-2,X,X
62,63,,Commentaire,,,,,Champ libre pour compléter les informations de localisation,Clé derrière le pot de fleur,comment,freetext,LI,Itinéraire (texte libre),,,,0..1,,string,X,"ENUM: France, Allemagne, Espagne, Italie, Suisse, Luxembourg, Belgique, Brésil",X,X
63,64,Alerte initiale,,,,,,"L'objet alert correspond à la transcription d'une communication d'urgence. Une alerte est une photo d'une situation donnée décrite par un requérant et n'est pas amenée à évoluer dans le temps. En cas de modification (adresse, qualification, ...), cela passera par une mise à jour opération ou une nouvelle alerte.
L'alerte initiale est la premiere alerte concernant la situation d'urgence et conduisant à la création d'une affaire.
Le système destinataire reçoit une affaire lorsqu'une alerte le concerne. S'il ne gère pas les affaires multi-alertes, il doit donc créer une affaire seulement sur l'alerte le concernant : pour une création d'affaire, sur l'alerte initiale et pour une mise à jour d'affaire, sur la nouvelle alerte (en récupérant éventuellement des informations de l'alerte initiale en historique).
Pour répondre sur une alerte, l'alerte initiale n'est pas obligatoire car pas forcément stockée dans le système (notamment pour ceux avec des affaires mono-alertes).
NB :
- Dans le cadre une mise à jour d'affaire, les objets alert sont IMMUTABLES dans la mesure où il décrivent une ""photo"" de la situation décrite par le requérant.",,primaryAlert,initialAlert,,,,,,0..1,X,alert,,,X,X
64,65,,Identifiant alerte,,,,,"Identifiant technique unique de l'alerte. Il doit pouvoir être généré automatiquement par le système émetteur et ne doit pas avoir de signification / utilisation particulière par les différents systèmes pour garantir leur découplage.
Voir la description de l'identifiant de l'affaire pour voir le format.
Lorsqu’une alerte est générée dans NexSIS et crée une affaire, elle est qualifiée d’Alerte Initiale.
a)	Si cette dernière concerne un partenaire (caractère médical pour la Santé par exemple), elle est relayée seule dans le message. Il y’a un seul objet initialAlert.
b)	Sinon, une autre alerte liée à la même affaire peut être déclarée ultérieurement, concernant cette fois le partenaire. Lorsqu’elle est déclarée cette Nouvelle Alerte est relayée avec l’Alerte Initiale pour partager un contexte commun. Dans le message de création d’affaire il y’a deux objets alerte : initialAlert et newAlert.
Le rattachement des messages à une affaire doivent s'appuyer sur les caseId et non les alertId qui peuvent varier d'un système à l'autre.",SGO050-20230605-AL0123,alertId,id,,,,,1.0,1..1,,string,,,X,X
65,66,,Date de réception de l'alerte,,,,,Groupe date heure de réception de l'alerte,2022-09-27T08:21:06+02:00,receivedAt,reception,HA ,		Date et heure de prise d'appel   (format DD/MM/YYYY HH24:MI:SS),,,,1..1,,datetime,,Format datetime décrit dans le DSF,X,X
66,67,,Signalement,,,,,"Permet d'attirer l'attention des forces partenaires sur une affaire pour le faire sortir du lot.
Eventuellement automatisé en fonction des critères saisis et de leur paramétrage, ou renseigné par l'opérateur. 
Prend les valeurs définies dans la nomenclature CISU :
- standard : STANDARD
- signalé : ATTENTION
Les systèmes peuvent proposer des fonctionnalités faisant ressortir les dossiers avec le libellé ATTENTION",STANDARD,,reporting,,,,,1.0,1..1,,string,X,"ENUM: STANDARD, ATTENTION",X,X
67,68,,Informations complémentaires sur l'alerte,,,,,Texte libre permettant de donner des informations supplémentaires concernant l'alerte,"Déclenchement téléalarme, voisine sur les liens",comment,freetext,OG,Observations générales (texte libre),,,1.0,0..1,,string,,,X,X
68,69,,Requérant,,,,,Objet permettant d'identifer la personne qui a alerté les secours et de la recontacter,,caller,,,,,,,1..1,X,caller,,,X,X
69,70,,,Contact requérant,,,,Type et valeur de l'URI utilisée par le requérant à l'origine de l'alerte.,,callerURI,callerContact,AT,N° de téléphone,,,1.0,0..1,X,contact,,,X,X
70,71,,,,Type de contact du requérant,,,"Type de l'URI utilisée par le requérant, cf. nomenclature EMSI",PHNADD,,type,,,,,,1..1,,string,X,"ENUM: PSTADD, EMLADD, IPADD, FTPADD, WWWADD, PHNADD, FAXADD, PMRADD",X,X
71,72,,,,URI du contact requérant,,,Valeur de l'URI utilisée pour contacter le partenaire,0671830530,,detail,,,,,,1..1,,string,,,X,X
72,73,,,Contact de contre-appel,,,,"Type et valeur de l'URI permettant un rappel pour avoir plus d'informations : il peut s'agit du requérant, de la victime ou d'un témoin. ",,,callbackContact,LT,N° de téléphone sur les lieux,,,1.0,0..1,X,contact,,,X,X
73,74,,,Langue parlée,,,,Langue parlée par le requérant. Permet de mettre en place des traducteurs si besoin. Utilise la nomenclature LANGUE du SI-SAMU.,FR,spokenLanguage,language,,,,,,0..1,,string,X,NOMENCLATURE: ISO 3166-ISO3166-2,X,X
74,75,,,Type de requérant,,,,Indique la relation du requérant avec l'incident / le patient / la victime,"le patient lui-même, père, mère",,reqtype,,,,,,0..1,,string,?,,X,X
